subject;session;block;bad_channel;note
5;1;1;2031;heated
5;1;1;1241;
5;1;1;2641;
5;1;1;0821;
5;1;1;0133;
5;1;1;0342;
5;1;1;1313;
5;1;2;1241;
5;1;2;2641;
5;1;2;0821;
5;1;2;0133;
5;1;2;0342;
5;1;2;1313;
5;1;3;1241;
5;1;3;2641;
5;1;3;0821;
5;1;3;0133;
5;1;3;0342;
5;1;3;1313;
5;1;4;1241;
5;1;4;2641;
5;1;4;0821;
5;1;4;0133;
5;1;4;0342;
5;1;4;1313;
5;1;5;1241;
5;1;5;2641;
5;1;5;0821;
5;1;5;0133;
5;1;5;0342;
5;1;5;1313;
5;1;6;1241;
5;1;6;2641;
5;1;6;0821;
5;1;6;0133;
5;1;6;0342;
5;1;6;1313;
5;1;7;1241;
5;1;7;2641;
5;1;7;0821;
5;1;7;0133;
5;1;7;0342;
5;1;7;1313;
5;1;8;1241;
5;1;8;2641;
5;1;8;0821;
5;1;8;0133;
5;1;8;0342;
5;1;8;1313;
5;1;9;1241;
5;1;9;2641;
5;1;9;0821;
5;1;9;0133;
5;1;9;0342;
5;1;9;1313;
5;1;10;1241;
5;1;10;2641;
5;1;10;0821;
5;1;10;0133;
5;1;10;0342;
5;1;10;1313;
5;2;1;0921;heated
5;2;1;1241;
5;2;1;2641;
5;2;1;0821;
5;2;1;0133;
5;2;1;0342;
5;2;1;1313;
5;2;2;2413;heated
5;2;2;1241;
5;2;2;2641;
5;2;2;0821;
5;2;2;0133;
5;2;2;0342;
5;2;2;1313;
5;2;3;1241;
5;2;3;2641;
5;2;3;0821;
5;2;3;0133;
5;2;3;0342;
5;2;3;1313;
5;2;4;1241;
5;2;4;2641;
5;2;4;0821;
5;2;4;0133;
5;2;4;0342;
5;2;4;1313;
5;2;5;1241;
5;2;5;2641;
5;2;5;0821;
5;2;5;0133;
5;2;5;0342;
5;2;5;1313;
5;2;6;1241;
5;2;6;2641;
5;2;6;0821;
5;2;6;0133;
5;2;6;0342;
5;2;6;1313;
5;2;7;1241;
5;2;7;2641;
5;2;7;0821;
5;2;7;0133;
5;2;7;0342;
5;2;7;1313;
5;2;8;1241;
5;2;8;2641;
5;2;8;0821;
5;2;8;0133;
5;2;8;0342;
5;2;8;1313;
5;2;9;1241;
5;2;9;2641;
5;2;9;0821;
5;2;9;0133;
5;2;9;0342;
5;2;9;1313;
5;2;9;2021;
5;2;10;2021;heated
5;2;10;1241;
5;2;10;2641;
5;2;10;0821;
5;2;10;0133;
5;2;10;0342;
5;2;10;1313;
5;2;11;1241;
5;2;11;2641;
5;2;11;0821;
5;2;11;0133;
5;2;11;0342;
5;2;11;1313;
5;2;12;1241;
5;2;12;2641;
5;2;12;0821;
5;2;12;0133;
5;2;12;0342;
5;2;12;1313;
5;2;13;1241;
5;2;13;2641;
5;2;13;0821;
5;2;13;0133;
5;2;13;0342;
5;2;13;1313;
5;2;14;1241;
5;2;14;2641;
5;2;14;0821;
5;2;14;0133;
5;2;14;0342;
5;2;14;1313;
5;3;1;1241;
5;3;1;2641;
5;3;1;0821;
5;3;1;0133;
5;3;1;0342;
5;3;1;1313;
5;3;2;1241;
5;3;2;2641;
5;3;2;0821;
5;3;2;0133;
5;3;2;0342;
5;3;2;1313;
5;3;3;1241;
5;3;3;2641;
5;3;3;0821;
5;3;3;0133;
5;3;3;0342;
5;3;3;1313;
5;3;4;2021;heated
5;3;4;1241;
5;3;4;2641;
5;3;4;0821;
5;3;4;0133;
5;3;4;0342;
5;3;4;1313;
5;3;5;1241;
5;3;5;2641;
5;3;5;0821;
5;3;5;0133;
5;3;5;0342;
5;3;5;1313;
5;3;6;1241;
5;3;6;2641;
5;3;6;0821;
5;3;6;0133;
5;3;6;0342;
5;3;6;1313;
5;3;7;1241;
5;3;7;2641;
5;3;7;0821;
5;3;7;0133;
5;3;7;0342;
5;3;7;1313;
5;3;8;1241;
5;3;8;2641;
5;3;8;0821;
5;3;8;0133;
5;3;8;0342;
5;3;8;1313;
5;3;9;1241;
5;3;9;2641;
5;3;9;0821;
5;3;9;0133;
5;3;9;0342;
5;3;9;1313;
5;3;10;1241;
5;3;10;2641;
5;3;10;0821;
5;3;10;0133;
5;3;10;0342;
5;3;10;1313;
5;3;11;1241;
5;3;11;2641;
5;3;11;0821;
5;3;11;0133;
5;3;11;0342;
5;3;11;1313;
5;3;12;1241;
5;3;12;2641;
5;3;12;0821;
5;3;12;0133;
5;3;12;0342;
5;3;12;1313;
5;3;13;1241;
5;3;13;2641;
5;3;13;0821;
5;3;13;0133;
5;3;13;0342;
5;3;13;1313;
5;3;14;1241;
5;3;14;2641;
5;3;14;0821;
5;3;14;0133;
5;3;14;0342;
5;3;14;1313;
5;4;1;1241;
5;4;1;2641;
5;4;1;0821;
5;4;1;0133;
5;4;1;0342;
5;4;1;1313;
5;4;2;1241;
5;4;2;2641;
5;4;2;0821;
5;4;2;0133;
5;4;2;0342;
5;4;2;1313;
5;4;3;1241;
5;4;3;2641;
5;4;3;0821;
5;4;3;0133;
5;4;3;0342;
5;4;3;1313;
5;4;4;1241;
5;4;4;2641;
5;4;4;0821;
5;4;4;0133;
5;4;4;0342;
5;4;4;1313;
5;4;5;1241;
5;4;5;2641;
5;4;5;0821;
5;4;5;0133;
5;4;5;0342;
5;4;5;1313;
5;4;6;1241;
5;4;6;2641;
5;4;6;0821;
5;4;6;0133;
5;4;6;0342;
5;4;6;1313;
5;4;7;1241;
5;4;7;2641;
5;4;7;0821;
5;4;7;0133;
5;4;7;0342;
5;4;7;1313;
5;4;8;1241;
5;4;8;2641;
5;4;8;0821;
5;4;8;0133;
5;4;8;0342;
5;4;8;1313;
5;4;9;1241;
5;4;9;2641;
5;4;9;0821;
5;4;9;0133;
5;4;9;0342;
5;4;9;1313;
5;4;10;1241;
5;4;10;2641;
5;4;10;0821;
5;4;10;0133;
5;4;10;0342;
5;4;10;1313;
5;4;11;1241;
5;4;11;2641;
5;4;11;0821;
5;4;11;0133;
5;4;11;0342;
5;4;11;1313;
5;4;12;1241;
5;4;12;2641;
5;4;12;0821;
5;4;12;0133;
5;4;12;0342;
5;4;12;1313;
5;4;13;1241;
5;4;13;2641;
5;4;13;0821;
5;4;13;0133;
5;4;13;0342;
5;4;13;1313;
5;4;14;1241;
5;4;14;2641;
5;4;14;0821;
5;4;14;0133;
5;4;14;0342;
5;4;14;1313;
5;5;1;1241;
5;5;1;2641;
5;5;1;0821;
5;5;1;0133;
5;5;1;0342;
5;5;1;1313;
5;5;1;1041;heated
5;5;1;2211;heated
5;5;2;1241;
5;5;2;2641;
5;5;2;0821;
5;5;2;0133;
5;5;2;0342;
5;5;2;1313;
5;5;3;1241;
5;5;3;2641;
5;5;3;0821;
5;5;3;0133;
5;5;3;0342;
5;5;3;1313;
5;5;4;1241;
5;5;4;2641;
5;5;4;0821;
5;5;4;0133;
5;5;4;0342;
5;5;4;1313;
5;5;5;1241;
5;5;5;2641;
5;5;5;0821;
5;5;5;0133;
5;5;5;0342;
5;5;5;1313;
5;5;6;1241;
5;5;6;2641;
5;5;6;0821;
5;5;6;0133;
5;5;6;0342;
5;5;6;1313;
5;5;7;1241;
5;5;7;2641;
5;5;7;0821;
5;5;7;0133;
5;5;7;0342;
5;5;7;1313;
5;5;8;1541;
5;5;8;1241;
5;5;8;2641;
5;5;8;0821;
5;5;8;0133;
5;5;8;0342;
5;5;8;1313;
5;5;9;1541;heated
5;5;9;2331;
5;5;9;1241;
5;5;9;2641;
5;5;9;0821;
5;5;9;0133;
5;5;9;0342;
5;5;9;1313;
5;5;10;1241;
5;5;10;2641;
5;5;10;0821;
5;5;10;0133;
5;5;10;0342;
5;5;10;1313;
5;5;10;2331;heated
5;5;11;1241;
5;5;11;2641;
5;5;11;0821;
5;5;11;0133;
5;5;11;0342;
5;5;11;1313;
5;5;12;1241;
5;5;12;2641;
5;5;12;0821;
5;5;12;0133;
5;5;12;0342;
5;5;12;1313;
5;5;12;1622;heated
5;5;13;1241;
5;5;13;2641;
5;5;13;0821;
5;5;13;0133;
5;5;13;0342;
5;5;13;1313;
5;5;14;1241;
5;5;14;2641;
5;5;14;0821;
5;5;14;0133;
5;5;14;0342;
5;5;14;1313;
5;6;1;1241;
5;6;1;2641;
5;6;1;0821;
5;6;1;0133;
5;6;1;0342;
5;6;1;1313;
5;6;2;1241;
5;6;2;2641;
5;6;2;0821;
5;6;2;0133;
5;6;2;0342;
5;6;2;1313;
5;6;3;1241;
5;6;3;2641;
5;6;3;0821;
5;6;3;0133;
5;6;3;0342;
5;6;3;1313;
5;6;4;1241;
5;6;4;2641;
5;6;4;0821;
5;6;4;0133;
5;6;4;0342;
5;6;4;1313;
5;6;5;1241;
5;6;5;2641;
5;6;5;0821;
5;6;5;0133;
5;6;5;0342;
5;6;5;1313;
5;6;6;1241;
5;6;6;2641;
5;6;6;0821;
5;6;6;0133;
5;6;6;0342;
5;6;6;1313;
5;6;7;1241;
5;6;7;2641;
5;6;7;0821;
5;6;7;0133;
5;6;7;0342;
5;6;7;1313;
5;6;8;1241;
5;6;8;2641;
5;6;8;0821;
5;6;8;0133;
5;6;8;0342;
5;6;8;1313;
5;6;9;1241;
5;6;9;2641;
5;6;9;0821;
5;6;9;0133;
5;6;9;0342;
5;6;9;1313;
5;6;10;1241;
5;6;10;2641;
5;6;10;0821;
5;6;10;0133;
5;6;10;0342;
5;6;10;1313;
5;6;11;1241;
5;6;11;2641;
5;6;11;0821;
5;6;11;0133;
5;6;11;0342;
5;6;11;1313;
5;6;12;1241;
5;6;12;2641;
5;6;12;0821;
5;6;12;0133;
5;6;12;0342;
5;6;12;1313;
5;6;13;1241;
5;6;13;2641;
5;6;13;0821;
5;6;13;0133;
5;6;13;0342;
5;6;13;1313;
5;6;14;1241;
5;6;14;2641;
5;6;14;0821;
5;6;14;0133;
5;6;14;0342;
5;6;14;1313;
5;7;1;1241;
5;7;1;2641;
5;7;1;0821;
5;7;1;0133;
5;7;1;0342;
5;7;1;1313;
5;7;2;1241;
5;7;2;2641;
5;7;2;0821;
5;7;2;0133;
5;7;2;0342;
5;7;2;1313;
5;7;3;1241;
5;7;3;2641;
5;7;3;0821;
5;7;3;0133;
5;7;3;0342;
5;7;3;1313;
5;7;3;1842;
5;7;4;1842;heated
5;7;4;1241;
5;7;4;2641;
5;7;4;0821;
5;7;4;0133;
5;7;4;0342;
5;7;4;1313;
5;7;5;1241;
5;7;5;2641;
5;7;5;0821;
5;7;5;0133;
5;7;5;0342;
5;7;5;1313;
5;7;6;1241;
5;7;6;2641;
5;7;6;0821;
5;7;6;0133;
5;7;6;0342;
5;7;6;1313;
5;7;7;1241;
5;7;7;2641;
5;7;7;0821;
5;7;7;0133;
5;7;7;0342;
5;7;7;1313;
5;7;8;1241;
5;7;8;2641;
5;7;8;0821;
5;7;8;0133;
5;7;8;0342;
5;7;8;1313;
5;7;9;1241;
5;7;9;2641;
5;7;9;0821;
5;7;9;0133;
5;7;9;0342;
5;7;9;1313;
5;7;10;1241;
5;7;10;2641;
5;7;10;0821;
5;7;10;0133;
5;7;10;0342;
5;7;10;1313;
5;7;11;1241;
5;7;11;2641;
5;7;11;0821;
5;7;11;0133;
5;7;11;0342;
5;7;11;1313;
5;7;12;1241;
5;7;12;2641;
5;7;12;0821;
5;7;12;0133;
5;7;12;0342;
5;7;12;1313;
5;7;13;1241;
5;7;13;2641;
5;7;13;0821;
5;7;13;0133;
5;7;13;0342;
5;7;13;1313;
5;7;13;1131;heated
5;7;14;1241;
5;7;14;2641;
5;7;14;0821;
5;7;14;0133;
5;7;14;0342;
5;7;14;1313;
5;8;1;1241;
5;8;1;2641;
5;8;1;0821;
5;8;1;0133;
5;8;1;0342;
5;8;1;1313;
5;8;2;1241;
5;8;2;2641;
5;8;2;0821;
5;8;2;0133;
5;8;2;0342;
5;8;2;1313;
5;8;3;1241;
5;8;3;2641;
5;8;3;0821;
5;8;3;0133;
5;8;3;0342;
5;8;3;1313;
5;8;4;1241;
5;8;4;2641;
5;8;4;0821;
5;8;4;0133;
5;8;4;0342;
5;8;4;1313;
5;8;5;1241;
5;8;5;2641;
5;8;5;0821;
5;8;5;0133;
5;8;5;0342;
5;8;5;1313;
5;8;6;1241;
5;8;6;2641;
5;8;6;0821;
5;8;6;0133;
5;8;6;0342;
5;8;6;1313;
5;8;7;1241;
5;8;7;2641;
5;8;7;0821;
5;8;7;0133;
5;8;7;0342;
5;8;7;1313;
5;8;8;1241;
5;8;8;2641;
5;8;8;0821;
5;8;8;0133;
5;8;8;0342;
5;8;8;1313;
5;8;9;1241;
5;8;9;2641;
5;8;9;0821;
5;8;9;0133;
5;8;9;0342;
5;8;9;1313;
5;8;10;1241;
5;8;10;2641;
5;8;10;0821;
5;8;10;0133;
5;8;10;0342;
5;8;10;1313;
5;8;11;1241;
5;8;11;2641;
5;8;11;0821;
5;8;11;0133;
5;8;11;0342;
5;8;11;1313;
5;8;12;1241;
5;8;12;2641;
5;8;12;0821;
5;8;12;0133;
5;8;12;0342;
5;8;12;1313;
5;8;12;1541;
5;8;13;1541;heated
5;8;13;1241;
5;8;13;2641;
5;8;13;0821;
5;8;13;0133;
5;8;13;0342;
5;8;13;1313;
5;8;14;1241;
5;8;14;2641;
5;8;14;0821;
5;8;14;0133;
5;8;14;0342;
5;8;14;1313;
5;9;1;2011;heated
5;9;1;0921;
5;9;1;1241;
5;9;1;2641;
5;9;1;0821;
5;9;1;0133;
5;9;1;0342;
5;9;1;1313;
5;9;2;1241;
5;9;2;2641;
5;9;2;0821;
5;9;2;0133;
5;9;2;0342;
5;9;2;1313;
5;9;3;1241;
5;9;3;2641;
5;9;3;0821;
5;9;3;0133;
5;9;3;0342;
5;9;3;1313;
5;9;4;1241;
5;9;4;2641;
5;9;4;0821;
5;9;4;0133;
5;9;4;0342;
5;9;4;1313;
5;9;5;1241;
5;9;5;2641;
5;9;5;0821;
5;9;5;0133;
5;9;5;0342;
5;9;5;1313;
5;9;5;2011;
5;9;6;2011;heated
5;9;6;1241;
5;9;6;2641;
5;9;6;0821;
5;9;6;0133;
5;9;6;0342;
5;9;6;1313;
5;9;7;1241;
5;9;7;2641;
5;9;7;0821;
5;9;7;0133;
5;9;7;0342;
5;9;7;1313;
5;9;8;1241;
5;9;8;2641;
5;9;8;0821;
5;9;8;0133;
5;9;8;0342;
5;9;8;1313;
5;9;9;1241;
5;9;9;2641;
5;9;9;0821;
5;9;9;0133;
5;9;9;0342;
5;9;9;1313;
5;9;10;1241;
5;9;10;2641;
5;9;10;0821;
5;9;10;0133;
5;9;10;0342;
5;9;10;1313;
5;9;11;1241;
5;9;11;2641;
5;9;11;0821;
5;9;11;0133;
5;9;11;0342;
5;9;11;1313;
5;9;12;1241;
5;9;12;2641;
5;9;12;0821;
5;9;12;0133;
5;9;12;0342;
5;9;12;1313;
5;9;13;1241;
5;9;13;2641;
5;9;13;0821;
5;9;13;0133;
5;9;13;0342;
5;9;13;1313;
5;9;14;1241;
5;9;14;2641;
5;9;14;0821;
5;9;14;0133;
5;9;14;0342;
5;9;14;1313;
5;10;1;1241;
5;10;1;2641;
5;10;1;0821;
5;10;1;0133;
5;10;1;0342;
5;10;1;1313;
5;10;2;1241;
5;10;2;2641;
5;10;2;0821;
5;10;2;0133;
5;10;2;0342;
5;10;2;1313;
5;10;3;1241;
5;10;3;2641;
5;10;3;0821;
5;10;3;0133;
5;10;3;0342;
5;10;3;1313;
5;10;4;1241;
5;10;4;2641;
5;10;4;0821;
5;10;4;0133;
5;10;4;0342;
5;10;4;1313;
5;10;5;1241;
5;10;5;2641;
5;10;5;0821;
5;10;5;0133;
5;10;5;0342;
5;10;5;1313;
5;10;6;1241;
5;10;6;2641;
5;10;6;0821;
5;10;6;0133;
5;10;6;0342;
5;10;6;1313;
5;10;7;1241;
5;10;7;2641;
5;10;7;0821;
5;10;7;0133;
5;10;7;0342;
5;10;7;1313;
5;10;8;1241;
5;10;8;2641;
5;10;8;0821;
5;10;8;0133;
5;10;8;0342;
5;10;8;1313;
5;10;9;1241;
5;10;9;2641;
5;10;9;0821;
5;10;9;0133;
5;10;9;0342;
5;10;9;1313;
5;10;10;1241;
5;10;10;2641;
5;10;10;0821;
5;10;10;0133;
5;10;10;0342;
5;10;10;1313;
5;10;11;1241;
5;10;11;2641;
5;10;11;0821;
