subject,roi,hemi,rsa,n_sources
1,early,lh,0.44922909140586853,5756
1,early,rh,0.4020043611526489,5633
1,parietal,lh,0.4077797532081604,6248
1,parietal,rh,0.4014347791671753,6002
1,lateral,lh,0.43949252367019653,11346
1,lateral,rh,0.34639889001846313,11730
1,ventral,lh,0.3839302659034729,10540
1,ventral,rh,0.32858526706695557,10441
1,HC,lh,0.1666770577430725,1265
1,HC,rh,0.11855524778366089,897
1,FEF,lh,0.30114370584487915,832
1,FEF,rh,0.2969411611557007,850
1,dlPFC,lh,0.17971473932266235,11087
1,dlPFC,rh,0.22099921107292175,11163
1,OFC,lh,0.12681397795677185,7299
1,OFC,rh,0.22692222893238068,7772
1,infFC,lh,0.25059324502944946,4467
1,infFC,rh,0.24723777174949646,3922
1,mPFC,lh,0.1609349399805069,7874
1,mPFC,rh,0.12259292602539062,8736
2,early,lh,0.4822891056537628,5756
2,early,rh,0.3596756160259247,5633
2,parietal,lh,0.43804413080215454,6248
2,parietal,rh,0.29301717877388,6002
2,lateral,lh,0.5036693215370178,11346
2,lateral,rh,0.33691132068634033,11730
2,ventral,lh,0.4379248023033142,10540
2,ventral,rh,0.3634342551231384,10441
2,HC,lh,0.4738689064979553,1265
2,HC,rh,0.3493611514568329,897
2,FEF,lh,0.04939986765384674,832
2,FEF,rh,0.29278942942619324,850
2,dlPFC,lh,0.14520102739334106,11087
2,dlPFC,rh,0.17245081067085266,11163
2,OFC,lh,0.15437781810760498,7299
2,OFC,rh,0.20580516755580902,7772
2,infFC,lh,0.1740896999835968,4467
2,infFC,rh,0.28537851572036743,3922
2,mPFC,lh,0.3047308623790741,7874
2,mPFC,rh,0.32345888018608093,8736
3,early,lh,0.40182915329933167,5756
3,early,rh,0.4577028155326843,5633
3,parietal,lh,0.39587098360061646,6248
3,parietal,rh,0.3306196331977844,6002
3,lateral,lh,0.383931040763855,11346
3,lateral,rh,0.37109512090682983,11730
3,ventral,lh,0.4004359245300293,10540
3,ventral,rh,0.4165586233139038,10441
3,HC,lh,0.48417574167251587,1265
3,HC,rh,0.4138028621673584,897
3,FEF,lh,0.12446798384189606,832
3,FEF,rh,0.08997319638729095,850
3,dlPFC,lh,0.07385513186454773,11087
3,dlPFC,rh,0.1201862096786499,11163
3,OFC,lh,0.24281015992164612,7299
3,OFC,rh,0.20036830008029938,7772
3,infFC,lh,0.2419895976781845,4467
3,infFC,rh,0.2940950095653534,3922
3,mPFC,lh,0.27775126695632935,7874
3,mPFC,rh,0.26324331760406494,8736
4,early,lh,0.29729560017585754,5756
4,early,rh,0.2638547122478485,5633
4,parietal,lh,0.2880488634109497,6248
4,parietal,rh,0.23360762000083923,6002
4,lateral,lh,0.24631403386592865,11346
4,lateral,rh,0.13022522628307343,11730
4,ventral,lh,0.2168051302433014,10540
4,ventral,rh,0.20898108184337616,10441
4,HC,lh,0.2313937395811081,1265
4,HC,rh,0.13606080412864685,897
4,FEF,lh,0.03821542114019394,832
4,FEF,rh,0.07234849780797958,850
4,dlPFC,lh,0.07609333097934723,11087
4,dlPFC,rh,0.12126218527555466,11163
4,OFC,lh,0.1411730945110321,7299
4,OFC,rh,0.20485466718673706,7772
4,infFC,lh,0.12996773421764374,4467
4,infFC,rh,0.1965724378824234,3922
4,mPFC,lh,0.1774127036333084,7874
4,mPFC,rh,0.20261746644973755,8736
5,early,lh,0.32662802934646606,5756
5,early,rh,0.2736358344554901,5633
5,parietal,lh,0.32611796259880066,6248
5,parietal,rh,0.2714768350124359,6002
5,lateral,lh,0.3332831859588623,11346
5,lateral,rh,0.2679663598537445,11730
5,ventral,lh,0.30930832028388977,10540
5,ventral,rh,0.24594902992248535,10441
5,HC,lh,0.0360141322016716,1265
5,HC,rh,0.21487493813037872,897
5,FEF,lh,0.07755405455827713,832
5,FEF,rh,0.06755141913890839,850
5,dlPFC,lh,0.10949639230966568,11087
5,dlPFC,rh,0.08617544174194336,11163
5,OFC,lh,0.090537890791893,7299
5,OFC,rh,0.18295477330684662,7772
5,infFC,lh,0.11216015368700027,4467
5,infFC,rh,0.13465070724487305,3922
5,mPFC,lh,0.11394882202148438,7874
5,mPFC,rh,0.1237974464893341,8736
